x	y
1.575736687920041312e+01	0.000000000000000000e+00
1.599689815612614119e+01	2.022999999999999907e-22
1.699724280544545962e+01	1.336999999999999983e-21
1.799672583146648108e+01	2.938000000000000124e-21
1.899707048078580129e+01	4.601000000000000052e-21
1.999655350680682275e+01	6.271999999999999733e-21
2.099603653282784776e+01	7.872999999999999498e-21
2.199638118214716442e+01	9.324999999999999613e-21
2.299586420816818944e+01	1.056000000000000029e-20
2.399620885748750609e+01	1.178999999999999989e-20
2.499569188350853111e+01	1.301999999999999950e-20
2.599517490952955256e+01	1.408000000000000038e-20
2.799500258486989424e+01	1.601000000000000066e-20
2.999483026021023591e+01	1.802999999999999911e-20
3.199465793555057758e+01	1.961999999999999893e-20
3.399448561089091925e+01	2.111000000000000145e-20
3.599345166293296217e+01	2.243000000000000073e-20
3.799327933827330384e+01	2.330999999999999925e-20
3.999310701361364551e+01	2.392999999999999937e-20
4.249267620196449968e+01	2.446000000000000132e-20
4.499224539031535386e+01	2.489999999999999907e-20
4.999138376701706221e+01	2.533999999999999983e-20
5.499052214371876346e+01	2.595000000000000083e-20
5.998966052042047181e+01	2.657000000000000095e-20
6.498879889712218016e+01	2.727000000000000011e-20
6.998793727382388852e+01	2.770999999999999786e-20
7.498707565052559687e+01	2.815000000000000164e-20
7.998621402722729101e+01	2.840999999999999703e-20
8.498535240392899937e+01	2.850000000000000122e-20
8.998793727382388852e+01	2.858999999999999939e-20
9.998276753403412442e+01	2.850000000000000122e-20
1.149836291573324161e+02	2.823999999999999981e-20
1.299758745476477770e+02	2.761999999999999969e-20
1.449767361709460545e+02	2.709000000000000075e-20
1.599689815612614154e+02	2.622000000000000136e-20
1.799672583146648321e+02	2.516000000000000048e-20
1.999655350680682488e+02	2.392999999999999937e-20
3.999310701361364977e+02	1.690000000000000131e-20
6.998793727382388852e+02	1.170000000000000022e-20
9.998276753403412158e+02	9.269999999999999893e-21
