x	y
1.154833706703429286e+01	1.000000000000000049e-22
1.602619334826813713e+01	1.999999999999999815e-21
1.999655350680682275e+01	5.090000000000000156e-21
2.999483026021023591e+01	7.450000000000000562e-21
3.999310701361364551e+01	7.880000000000000693e-21
4.999138376701706221e+01	7.699999999999999833e-21
5.998966052042047181e+01	7.560000000000000001e-21
6.998793727382388852e+01	7.370000000000000013e-21
7.998621402722729101e+01	7.190000000000000657e-21
8.998793727382388852e+01	7.079999999999999714e-21
9.998276753403412442e+01	7.009999999999999798e-21
1.499741513010511937e+02	6.470000000000000227e-21
1.999655350680682488e+02	5.379999999999999702e-21
2.999483026021023875e+02	4.080000000000000179e-21
4.999138376701706079e+02	2.830000000000000060e-21
6.998793727382388852e+02	2.190000000000000179e-21
9.998276753403412158e+02	1.669999999999999994e-21
1.999655350680682432e+03	9.630000000000000108e-22
2.999483026021023761e+03	6.919999999999999744e-22
3.999310701361364863e+03	5.460000000000000439e-22
